alt-low                     alt-high                    press                       temp                        O3                          H2O                         CO2                         CH4                         O2                          CO                          N2                          
2.050000000000000e+01       2.100000000000000e+01       5.009310052793156e-02       2.000000000000000e+02       2.924664774944094e-06       2.989511717960224e-06       3.603654097453665e-04       1.431174619116692e-06       2.099817512517498e-01       2.029801795084107e-08       7.896505176893749e-01       
2.100000000000000e+01       2.150000000000000e+01       4.634265333457856e-02       2.000000000000000e+02       3.204224656367532e-06       3.054525028377932e-06       3.603886456703501e-04       1.399310824750504e-06       2.099799865543568e-01       1.909062754288200e-08       7.896519476488357e-01       
2.150000000000000e+01       2.200000000000000e+01       4.288112341620067e-02       2.000000000000000e+02       3.490406668699751e-06       3.120256471718282e-06       3.604116289933695e-04       1.367238315715146e-06       2.099781821498155e-01       1.811680293582210e-08       7.896534102029320e-01       
2.200000000000000e+01       2.250000000000000e+01       3.968563226177133e-02       2.000000000000000e+02       3.779618709160403e-06       3.186123869362442e-06       3.604341872544362e-04       1.335247071588018e-06       2.099763546244136e-01       1.734049186917588e-08       7.896548928581899e-01       
2.250000000000000e+01       2.300000000000000e+01       3.673516202106083e-02       2.000000000000000e+02       4.069588596987032e-06       3.251987769088815e-06       3.604563002314409e-04       1.303409432777222e-06       2.099745094476273e-01       1.672430314734958e-08       7.896563925420392e-01       
2.300000000000000e+01       2.350000000000000e+01       3.401040009467995e-02       2.000000000000000e+02       4.358219550836477e-06       3.317876853586061e-06       3.604779981333964e-04       1.271716073378766e-06       2.099726482043268e-01       1.623552097797646e-08       7.896579097495411e-01       
2.350000000000000e+01       2.400000000000000e+01       3.149359717966107e-02       2.000000000000000e+02       4.642673728117433e-06       3.383757139185760e-06       3.604992838751483e-04       1.240187957991456e-06       2.099707748491317e-01       1.584759859726625e-08       7.896594434005693e-01       
2.400000000000000e+01       2.450000000000000e+01       2.916843758122382e-02       2.000000000000000e+02       4.919848144904815e-06       3.449604268782348e-06       3.605201586008812e-04       1.208841114204136e-06       2.099688934384524e-01       1.553849011364449e-08       7.896609925709287e-01       
2.450000000000000e+01       2.500000000000000e+01       2.701992018155784e-02       2.000000000000000e+02       5.186580113138868e-06       3.515400480464996e-06       3.605406213828312e-04       1.177687909720858e-06       2.099670078644293e-01       1.528998366340926e-08       7.896625565557008e-01       
2.500000000000000e+01       2.550000000000000e+01       2.503424977250615e-02       2.000000000000000e+02       5.439888945004047e-06       3.581131956478664e-06       3.605606690119291e-04       1.146738085853353e-06       2.099651215280706e-01       1.508714175668470e-08       7.896641349567884e-01       
2.550000000000000e+01       2.600000000000000e+01       2.319873779469434e-02       2.000000000000000e+02       5.677701577103275e-06       3.646922997078197e-06       3.605803366674111e-04       1.115935677994219e-06       2.099632331013019e-01       1.491749326752213e-08       7.896657310842852e-01       
2.600000000000000e+01       2.650000000000000e+01       2.150171113629844e-02       2.000000000000000e+02       5.898746728872037e-06       3.712969351269321e-06       3.605996754829472e-04       1.085191421019106e-06       2.099613380402295e-01       1.477094738453198e-08       7.896673506058390e-01       
2.650000000000000e+01       2.700000000000000e+01       1.993242859542621e-02       2.000000000000000e+02       6.101889945218738e-06       3.779265808688690e-06       3.606186728785072e-04       1.054509714668543e-06       2.099594360050372e-01       1.463991212186740e-08       7.896689950167035e-01       
2.700000000000000e+01       2.750000000000000e+01       1.848100471134924e-02       2.000000000000000e+02       6.286747863381282e-06       3.845717359612835e-06       3.606372888648448e-04       1.023935334159822e-06       2.099575275294242e-01       1.451859257739821e-08       7.896706642625613e-01       
